RAW_DATA|GIVEN_NAME|TOP_NICKNAME|ALL_NICKNAMES_ORDERED
scott,scotty,sceeter,squat,scottie|scott|scotty|sceeter,scottie,scotty,squat
sebastian,sebby|sebastian|sebby|sebby
selma,anselm|selma|anselm|anselm
serena,rena|serena|rena|rena
serilla,rilla|serilla|rilla|rilla
seymour,see,morey|seymour|morey|morey,see
shaina,sha,shay|shaina|shay|sha,shay
sharon,sha,shay|sharon|shay|sha,shay
sheila,cecilia|sheila|cecilia|cecilia
sheldon,shelly|sheldon|shelly|shelly
shelton,tony,shel,shelly|shelton|tony|shel,shelly,tony
sheridan,dan,danny,sher|sheridan|dan|dan,danny,sher
sheryl,sher|sheryl|sher|sher
shirley,sherry,lee,shirl|shirley|lee|lee,sherry,shirl
sibbilla,sybill,sibbie,sibbell|sibbilla|sibbie|sibbell,sibbie,sybill
