RAW_DATA|GIVEN_NAME|TOP_NICKNAME|ALL_NICKNAMES_ORDERED
alice,lisa,elsie,allie|alice|elsie|allie,elsie,lisa
alicia,lisa,elsie,allie|alicia|elsie|allie,elsie,lisa
aline,adeline|aline|adeline|adeline
alison,ali|alison|ali|ali
allan,al|allan|al|al
allen,al|allen|al|al
allisandra,allie|allisandra|allie|allie
almena,mena,allie|almena|mena|allie,mena
almina,minnie|almina|minnie|minnie
almira,myra|almira|myra|myra
alonzo,lon,al,lonzo|alonzo|lonzo|al,lon,lonzo
alphinias,alphus|alphinias|alphus|alphus
alverta,virdie,vert|alverta|vert|vert,virdie
alyssa,lissia,al,ally|alyssa|ally|al,ally,lissia
alzada,zada|alzada|zada|zada
amanda,mandy,manda|amanda|mandy|manda,mandy
ambrose,brose|ambrose|brose|brose
amelia,amy,mel,millie,emily|amelia|amy|amy,emily,mel,millie
amos,moses|amos|moses|moses
anastasia,ana,stacy|anastasia|stacy|ana,stacy
anderson,andy|anderson|andy|andy
andrea,drea,rea,andrew|andrea|drea|andrew,drea,rea
andrew,andy,drew|andrew|drew|andy,drew
angela,angelica,angelina,angel,angeline,jane,angie|angela|jane|angel,angelica,angelina,angeline,angie,jane
angelina,lina|angelina|lina|lina
ann,nana,nan,nancy,annie,nanny|ann|annie|annie,nan,nana,nancy,nanny
anna,anne,ann,annie|anna|annie|ann,anne,annie
anne,annie,nana,ann,nan,nanny,nancy|anne|nancy|ann,annie,nan,nana,nancy,nanny
annette,anna,nettie|annette|nettie|anna,nettie
annie,ann,anna|annie|ann|ann,anna
anselm,ansel,selma,anse,ance|anselm|selma|ance,anse,ansel,selma
anthony,tony|anthony|tony|tony
antoinette,tony,netta,ann|antoinette|netta|ann,netta,tony
antonia,tony,netta,ann|antonia|tony|ann,netta,tony
appoline,appy,appie|appoline|appie|appie,appy
aquilla,quil,quillie|aquilla|quil|quil,quillie
ara,belle,arry|ara|arry|arry,belle
arabella,ara,bella,arry,belle|arabella|bella|ara,arry,bella,belle
arabelle,ara,bella,arry,belle|arabelle|belle|ara,arry,bella,belle
araminta,armida,middie,ruminta,minty|araminta|minty|armida,middie,minty,ruminta
archibald,archie|archibald|archie|archie
archilles,kill,killis|archilles|kill|kill,killis
ariadne,arie|ariadne|arie|arie
arielle,arie|arielle|arie|arie
aristotle,telly|aristotle|telly|telly
arizona,onie,ona|arizona|onie|ona,onie
arlene,arly,lena|arlene|lena|arly,lena
armanda,mandy|armanda|mandy|mandy
armena,mena,arry|armena|mena|arry,mena
armilda,milly|armilda|milly|milly
arminda,mindie|arminda|mindie|mindie
arminta,minite,minnie|arminta|minnie|minite,minnie
arnold,arnie|arnold|arnie|arnie
art,arthur|art|arthur|arthur
artelepsa,epsey|artelepsa|epsey|epsey
artemus,art|artemus|art|art
arthur,art|arthur|art|art
arthusa,thursa|arthusa|thursa|thursa
arzada,zaddi|arzada|zaddi|zaddi
asahel,asa|asahel|asa|asa
asaph,asa|asaph|asa|asa
asenath,sene,assene,natty|asenath|natty|assene,natty,sene
aubrey,bree|aubrey|bree|bree
audrey,dee|audrey|dee|dee
august,gus|august|gus|gus
augusta,tina,aggy,gatsy,gussie|augusta|aggy|aggy,gatsy,gussie,tina
augustina,tina,aggy,gatsy,gussie|augustina|aggy|aggy,gatsy,gussie,tina
augustine,gus,austin,august|augustine|gus|august,austin,gus
augustus,gus,austin,august|augustus|gus|august,austin,gus
aurelia,ree,rilly,orilla,aurilla,ora|aurelia|ora|aurilla,ora,orilla,ree,rilly
avarilla,rilla|avarilla|rilla|rilla
azariah,riah,aze|azariah|riah|aze,riah
bab,barby|bab|barby|barby
barbara,barby,babs,bab,bobbie|barbara|babs|bab,babs,barby,bobbie
barbery,barbara|barbery|barbara|barbara
barbie,barbara|barbie|barbara|barbara
barnabas,barney|barnabas|barney|barney
barney,barnabas|barney|barnabas|barnabas
bart,bartholomew|bart|bartholomew|bartholomew
bartholomew,bartel,bat,meus,bart,mees|bartholomew|bart|bart,bartel,bat,mees,meus
barticus,bart|barticus|bart|bart
bazaleel,basil|bazaleel|basil|basil
bea,beatrice|bea|beatrice|beatrice
beatrice,bea,trisha,trixie,trix|beatrice|trixie|bea,trisha,trix,trixie
becca,beck|becca|beck|beck
beck,becky|beck|becky|becky
bedelia,delia,bridgit|bedelia|bridgit|bridgit,delia
belinda,belle,linda|belinda|linda|belle,linda
bella,belle,arabella,isabella|bella|belle|arabella,belle,isabella
ben,benjamin,bennie|ben|bennie|benjamin,bennie
benedict,bennie,ben|benedict|bennie|ben,bennie
benjamin,benjy,jamie,bennie,ben|benjamin|ben|ben,benjy,bennie,jamie
benjy,benjamin|benjy|benjamin|benjamin
bernard,barney,bernie,berney|bernard|bernie|barney,berney,bernie
berney,bernie|berney|bernie|bernie
bert,bertie,bob,bobby|bert|bobby|bertie,bob,bobby
bertha,bert,birdie,bertie|bertha|birdie|bert,bertie,birdie
bertram,bert|bertram|bert|bert
